0.1418,0.2149,0.0001,0.3035,0.1414,-0.9838,-0.3827,1
0.0112,0.0082,0.4275,-0.1682,0.1970,-1.7839,-0.9198,1
-0.1916,-0.3593,1.4389,-0.7618,0.2076,-0.6659,-1.1864,1
-0.3463,-0.4742,1.0369,-0.6873,0.3187,-0.9585,-1.2271,1
0.4442,0.3298,1.3712,0.0665,0.8032,-1.5598,-0.4742,1
-0.1607,-0.2675,1.0200,-0.5474,0.1414,-0.8235,-0.9198,1
-0.0541,-0.0531,0.3767,-0.1479,0.0010,-0.0760,-0.3847,1
-0.2535,-0.3517,0.8507,-0.4707,0.1149,-0.6652,-0.8303,1
0.6126,0.6897,0.1566,0.9580,0.5464,-1.1042,0.9541,1
0.5473,0.5289,0.7195,0.5766,0.6523,-1.1514,0.2542,1
0.1418,0.2226,-0.0592,0.1929,-0.0440,0.5605,-0.1914,1
-0.2810,-0.3057,0.3640,-0.4300,-0.1525,-1.3190,-0.8283,1
-0.3291,-0.4129,0.7195,-0.4278,-0.1578,0.1901,-1.3634,1
-0.3669,-0.3823,0.2074,-0.3375,-0.2716,-0.3752,-1.0907,1
-0.3806,-0.3900,0.1439,-0.3307,-0.3828,-0.5109,-1.1864,1
-0.0885,-0.2139,1.1977,-0.6264,0.1970,0.3224,-1.2759,1
-0.2947,-0.5584,2.0018,-1.1500,0.3293,1.0201,-1.2759,1
0.2895,0.1460,1.4728,-0.2292,0.6762,-1.3975,-0.7367,1
-0.0507,-0.2675,1.8748,-0.9559,0.5491,-1.2858,-1.5445,1
-0.7312,-0.7575,-0.1015,-0.9085,-0.5549,0.2672,-1.0053,1
-0.2363,-0.1220,-0.5332,0.0665,-0.3431,-0.4178,-0.4722,1
-0.2535,-0.2292,0.0508,-0.2450,-0.2399,-0.6732,-0.3847,1
0.3548,0.2609,1.1766,-0.0238,0.6576,-1.9521,-0.6451,1
-0.9511,-1.0179,-0.1946,-1.1952,-0.8541,-1.5199,-0.9096,1
0.0558,0.1537,-0.2242,0.3622,-0.0360,-1.2698,-0.8283,1
0.4614,0.4600,0.5883,0.4615,0.4299,-1.8604,-0.2056,1
-0.6281,-0.6120,-0.2919,-0.5271,-0.6158,-0.2176,-1.1864,1
