0	0	31661.0
0	1000000	16525.0
1000000	1000000	146219.0
0	2000000	1572.0
1000000	2000000	18533.0
2000000	2000000	108159.0
0	3000000	720.0
1000000	3000000	4531.0
2000000	3000000	25624.0
3000000	3000000	107928.0
0	4000000	302.0
1000000	4000000	1322.0
2000000	4000000	5277.0
3000000	4000000	18905.0
4000000	4000000	82876.0
0	5000000	252.0
1000000	5000000	1177.0
2000000	5000000	3997.0
3000000	5000000	8300.0
4000000	5000000	28710.0
5000000	5000000	88003.0
0	6000000	723.0
1000000	6000000	3383.0
2000000	6000000	4487.0
3000000	6000000	9158.0
4000000	6000000	6275.0
5000000	6000000	20497.0
6000000	6000000	191862.0
0	7000000	268.0
1000000	7000000	1293.0
2000000	7000000	2330.0
3000000	7000000	3297.0
4000000	7000000	3723.0
5000000	7000000	5495.0
6000000	7000000	34797.0
7000000	7000000	121693.0
0	8000000	447.0
1000000	8000000	1740.0
2000000	8000000	1498.0
3000000	8000000	1860.0
4000000	8000000	1322.0
5000000	8000000	1609.0
6000000	8000000	8548.0
7000000	8000000	26209.0
8000000	8000000	176517.0
0	9000000	479.0
1000000	9000000	1695.0
2000000	9000000	1309.0
3000000	9000000	1355.0
4000000	9000000	1049.0
5000000	9000000	1289.0
6000000	9000000	4528.0
7000000	9000000	5745.0
8000000	9000000	32319.0
9000000	9000000	193609.0
0	10000000	390.0
1000000	10000000	1334.0
2000000	10000000	964.0
3000000	10000000	1014.0
4000000	10000000	727.0
5000000	10000000	967.0
6000000	10000000	2891.0
7000000	10000000	2638.0
8000000	10000000	6334.0
9000000	10000000	42539.0
10000000	10000000	184977.0
0	11000000	462.0
1000000	11000000	1579.0
2000000	11000000	1126.0
3000000	11000000	1104.0
4000000	11000000	741.0
5000000	11000000	867.0
6000000	11000000	2566.0
7000000	11000000	1992.0
8000000	11000000	3480.0
9000000	11000000	8145.0
10000000	11000000	32420.0
11000000	11000000	207823.0
0	12000000	332.0
1000000	12000000	1230.0
2000000	12000000	1024.0
3000000	12000000	1122.0
4000000	12000000	866.0
5000000	12000000	971.0
6000000	12000000	2275.0
7000000	12000000	1699.0
8000000	12000000	2542.0
9000000	12000000	3412.0
10000000	12000000	5337.0
11000000	12000000	30763.0
12000000	12000000	193030.0
0	13000000	31.0
1000000	13000000	117.0
2000000	13000000	230.0
3000000	13000000	228.0
4000000	13000000	458.0
5000000	13000000	522.0
6000000	13000000	383.0
7000000	13000000	640.0
8000000	13000000	403.0
9000000	13000000	508.0
10000000	13000000	698.0
11000000	13000000	1125.0
12000000	13000000	6311.0
13000000	13000000	19543.0
0	14000000	151.0
1000000	14000000	485.0
2000000	14000000	708.0
3000000	14000000	777.0
4000000	14000000	1083.0
5000000	14000000	1149.0
6000000	14000000	1356.0
7000000	14000000	1637.0
8000000	14000000	1479.0
9000000	14000000	1635.0
10000000	14000000	1985.0
11000000	14000000	2762.0
12000000	14000000	8835.0
13000000	14000000	12989.0
14000000	14000000	115181.0
0	15000000	233.0
1000000	15000000	855.0
2000000	15000000	869.0
3000000	15000000	967.0
4000000	15000000	795.0
5000000	15000000	790.0
6000000	15000000	1744.0
7000000	15000000	1410.0
8000000	15000000	2030.0
9000000	15000000	2162.0
10000000	15000000	2554.0
11000000	15000000	3606.0
12000000	15000000	8742.0
13000000	15000000	3960.0
14000000	15000000	45205.0
15000000	15000000	185748.0
0	16000000	437.0
1000000	16000000	1616.0
2000000	16000000	833.0
3000000	16000000	756.0
4000000	16000000	450.0
5000000	16000000	524.0
6000000	16000000	1731.0
7000000	16000000	926.0
8000000	16000000	1970.0
9000000	16000000	2430.0
10000000	16000000	2759.0
11000000	16000000	3902.0
12000000	16000000	5127.0
13000000	16000000	793.0
14000000	16000000	4718.0
15000000	16000000	35081.0
16000000	16000000	241143.0
0	17000000	247.0
1000000	17000000	816.0
2000000	17000000	760.0
3000000	17000000	727.0
4000000	17000000	535.0
5000000	17000000	597.0
6000000	17000000	1498.0
7000000	17000000	1032.0
8000000	17000000	1384.0
9000000	17000000	1538.0
10000000	17000000	1555.0
11000000	17000000	1980.0
12000000	17000000	2397.0
13000000	17000000	679.0
14000000	17000000	2484.0
15000000	17000000	4439.0
16000000	17000000	36083.0
17000000	17000000	158712.0
0	18000000	109.0
1000000	18000000	356.0
2000000	18000000	711.0
3000000	18000000	713.0
4000000	18000000	997.0
5000000	18000000	932.0
6000000	18000000	865.0
7000000	18000000	1098.0
8000000	18000000	855.0
9000000	18000000	912.0
10000000	18000000	949.0
11000000	18000000	1150.0
12000000	18000000	1621.0
13000000	18000000	867.0
14000000	18000000	2487.0
15000000	18000000	2477.0
16000000	18000000	3045.0
17000000	18000000	27810.0
18000000	18000000	124945.0
0	19000000	195.0
1000000	19000000	806.0
2000000	19000000	651.0
3000000	19000000	707.0
4000000	19000000	530.0
5000000	19000000	506.0
6000000	19000000	1200.0
7000000	19000000	820.0
8000000	19000000	1066.0
9000000	19000000	1297.0
10000000	19000000	1369.0
11000000	19000000	1601.0
12000000	19000000	1929.0
13000000	19000000	425.0
14000000	19000000	1530.0
15000000	19000000	2347.0
16000000	19000000	4202.0
17000000	19000000	12338.0
18000000	19000000	30715.0
19000000	19000000	199312.0
0	20000000	144.0
1000000	20000000	518.0
2000000	20000000	544.0
3000000	20000000	551.0
4000000	20000000	465.0
5000000	20000000	523.0
6000000	20000000	845.0
7000000	20000000	870.0
8000000	20000000	1031.0
9000000	20000000	1203.0
10000000	20000000	1221.0
11000000	20000000	1226.0
12000000	20000000	1464.0
13000000	20000000	452.0
14000000	20000000	1416.0
15000000	20000000	1837.0
16000000	20000000	2708.0
17000000	20000000	5507.0
18000000	20000000	9068.0
19000000	20000000	30387.0
20000000	20000000	170918.0
0	21000000	240.0
1000000	21000000	692.0
2000000	21000000	384.0
3000000	21000000	386.0
4000000	21000000	233.0
